Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy,PTSD,Residential inpatient,Parallel,Item-level,0,0,1,0,Structured Clinical Interview,PSS-I,PSS-I for DSM-IV,1,0,0,1,0,0,1,0,1,Low,1,Excluded: currently suicidal,Excluded: currently psychotic,Mixed,"rape/sexual assault, accidents, community/school violence, other (war-related)",Low
Psychotherapy,PTSD,Other,Parallel,N,0,0,0,0,Structured Clinical Interview,MINI and IES,MINI for DSM-III-R and IES-R for DSM-IV ≥33,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: patients who were psychotic,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,0,Structured Clinical Interview,CAPS,CAPS for DSM-5 criteria and CAPS-5 score ≥29,0,0,0,0,1,0,0,0,1,Some Concerns,1,Excluded: high risk of suicidal behavior as indicated by suicide attempt in prior year or suicidal ideation with active plan and/or intent in prior 6 months,"Excluded: schizophrenia, other psychotic disorder, or major depressive disorder with psychotic features",Mixed,"Combat-related, Other (unspecified)",High
Other study class,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Self report,PDS,PDS-5 ≥28,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disasters, other (unspecified type of child abuse, unspecified ""other"")",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,0,0,0,0,0,0,0,1,High,0,Allowed individuals with suicidal ideation,Excluded: unmanaged psychosis or manic episodes in the past year,Mixed,"combat-related, natural or manmade disasters",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID-1 for DSM-IV,1,1,0,0,1,0,1,0,1,High,1,Excluded: suicidal ideation,"NR (excluded ""major psychiatric disorder"")",Mixed,"accidents, community/school violence",Low
Nonpharmacologic biological,PTSD,Mixed,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-IV for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, accidents, rape/sexual assault, community/school violence, other (occupational, unexpected death of relative)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level and item-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,1,0,0,0,0,0,1,Some Concerns,1,Excluded: depression with active suicidal ideation,"Excluded: history of schizophrenia, bipolar disorder, or other psychotic disorder",Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""high risk for suicide""",Excluded: psychotic disorder,Mixed,MST; Combat-related; Rape/sexual assault; Accidents; Community/school violence; Other (sudden violent death),High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,"0R (""behavior therap1"" excluded)",0,Structured Clinical Interview,CAPS,CAPS-1 for DSM-III and CAPS-2 ≥50,1,1,1,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: any current psychotic features or a history of schizophrenia, delusional disorder, or psychotic disorder",Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-5 >50,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""current suicide risk""","Excluded: ""diagnostic history of… schizophrenia or schizoaffective disorder, or current psychotic features as determined by the Structured Clinical Interview for DSM-IV""",Mixed,Combat-related; Rape/sexual assault; Community/school violence; Other (not specified),High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,1,0,1,0,1,0,1,Some Concerns,1,Excluded: suicidal thoughts requiring immediate intervention.,Excluded: past or present psychotic episode,Mixed,"child sexual abuse, rape/sexual assault",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,1,1,1,1,Structured Clinical Interview,SCID,SCID for DSM-5 criteria,1,0,1,1,1,0,1,1,1,Low,1,"Excluded: ""active suicidality""","Excluded: ""primary psychotic disorders""",Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disasters, terrorism/political violence/forced displacement, other (unspecified childhood trauma, ""serious injury, harm, or death you caused to someone else"", ""other very stressful event/experiences"")",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-5 criteria,1,0,0,0,0,0,1,0,1,Low,1,"Excluded: ""current acute suicidality""","Excluded: ""psychosis""",Mixed,"combat-related, accidents, illness/medical procedure, community/school violence, terrorism/political violence/forced displacement, other (""severe human suffering"", ""death caused to someone else"", ""explosion or fire"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,0,0,0,1,1,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Accidents,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS ≥50,1,1,0,0,0,0,0,0,1,High,1,Excluded: serious suicidal risk,Excluded: patients diagnosed with schizoophrenia at any time,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,1,0,0,1,Low,1,Excluded: imminent plans of suicide,Excluded: psychotic disorders,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""active psychosis, history of schizophrenia""",Child sexual abuse,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other (refugee),Parallel,N,0,0,1,1,Self report,PDS,PDS for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychosis""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,0,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-III-R criteria and CAPS ≥36,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,0,Structured Clinical Interview,SI-PTSD,SI-PTSD according to DSM-IV ≥20,1,1,0,0,1,0,0,0,1,High,1,Excluded: significant risk of violence or suicide,Excluded: lifetime schizophrenia,Mixed,"child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)",Low
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,PCL and DSM,DSM-IV criteria and PCL for DSM-IV ≥50,1,1,0,0,0,1,1,0,1,Some Concerns,1,"Excluded: ""imminent suicidal or homicidal ideation""","Excluded: ""current diagnosis of..  psychotic disorder""",Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Other,Parallel,Cluster-level,0,0,0,0,Structured Clinical Interview,MINI,MINI PLUS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""diagnosis of psychotic disorder... according to DSM-IV""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and MINI,CAPS for DSM-IV and MINI for DSM-IV,1,1,1,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: schizophrenia,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-IV ≥50,1,0,1,0,0,0,0,1,1,Low,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)",High
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-IV criteria,0,0,0,0,0,1,0,0,1,High,1,"Excluded: ""current active suicidality""","Excluded: ""current axis I diagnoses other than atypical bipolar, depressive, or anxiety disorders"" and ""history of psychosis""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and PCL,CAPS-5 and PCL-5 ≥33,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""suicidal or homicidal ideation""","Excluded: ""history of schizophrenia, or psychotic disorders""",Mixed,"Combat-related; Rape/sexual assault; Accidents; Community/school violence; Other (exposure to ""unexpected or violent death"")",High
Other study class,PTSD,Other (mobile application),Parallel,N,0,0,1,1,Self report,PCL,PCL-5 >31,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,Y,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR ≥50,0,0,0,0,0,0,0,0,1,High,1,"Excluded: current, imminent risk of suicide",Excluded: active psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Self report,TSI,TSI for DSM-IV-TR,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Accidents,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,ICD,ICD-10,1,1,1,0,1,0,1,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""severe psychotic disorder (defined as patients with an ICD-10 diagnosis F2x and F30.1-F31.9)...excluded only if the psychotic-like experiences were...an independent psychotic disorder and not part of a severe PTSD and/or depression""",Mixed,"Combat-related; Rape/sexual assault; Terrorism/political violence/forced displacement; Other (""violence from relatives"", ""cranial trauma"")",Low
CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,1,0,1,0,0,0,1,High,1,"Excluded: actively suicidal, or any behavior that poses an immediate danger to the participant","Excluded: schizophrenia, schizoaffective disorder, or psychotic disorder",Mixed,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID-1,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Natural or manmade disasters,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""current suicidal ideation severe enough to warrant immediate crisis intervention (assessed by the Depressive Symptom Index-Suicidality Subscale and corroborated by a clinical risk assessment).""","Excluded: ""psychotic symptoms requiring immediate stabilization or hospitalization (determined using the MINI)""",Mixed,Combat-related; Rape/sexual assault; Other (not specified),High
Pharmacotherapy,PTSD+SUD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-IV for DSM-IV,0,0,0,0,0,1,0,0,1,Some Concerns,1,"Excluded: ""had a suicide attempt or suicidal ideation in the 6 months prior to enrollment""","Excluded: ""met diagnostic criteria for psychotic disorders""",Mixed,"combat-related, other (""civilian related trauma"")",High
Collaborative care,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,clinician diagnosis by DSM-IV-TR criteria,1,0,0,1,1,1,1,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS,1,0,0,0,1,0,0,0,1,Low,1,"Excluded: ""high suicidality score on the MINI or a suicide attempt within the past 6 months""","Included: ""diagnoses of psychotic disorders/mood disorders with psychotic features according to International Classification of Diseases, 10th revision (ICD-10) criteria)""",Mixed,"Rape/sexual assault; Community/school violence; Other (""index offense"" [not further specified], childhood abuse [not further specified], unspecified Other)",High
Other study class,PTSD,Other (mobile application),Parallel,N,0,0,1,1,Self report,PCL,PCL-C ≥35,1,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"Rape/sexual assault; Accidents; Illness/medical procedure; Natural or manmade disasters; Combat-related; Community/school violence; Other (""other event"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Self report,IES,IES-R ≥33,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""evidence of suicidal intent""","Excluded: ""evidence of psychosis""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,SCID and PSS-I,SCID for DSM-III-R and PSS-I,1,1,0,1,1,0,0,0,1,Some Concerns,1,Excluded: severe suicidal ideation,"Excluded: schizophrenia, psychotic symptoms",Mixed,"rape/sexual assault, community/school violence",Medium
Pharmacotherapy,PTSD,Residential inpatient,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Mixed,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,"Excluded: ""diagnosis of schizophrenia, schizoaffective disorder""?",Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Community/school violence; Other (""injury or death of someone close to them; ""husband left for hockey game, never returned""; failed suicide; ""mother attempted suicide multiple times in childhood"")",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,0,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: patients manifesting serious suicidal ideation,Excluded: patients manifesting psychotic symptoms or with lifetime criteria for schizophrenia or schizoaffective disorder,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing events, fire)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-IV,1,0,0,0,0,0,0,1,1,Low,1,Excluded: active suicidal intent,Excluded: current uncontrolled psychosis,Mixed,Accidents; Child physical abuse; Child sexual abuse; Rape/sexual assault; Community/school violence; Natural or manmade disasters; Terrorism/political violence/forced displacement; Other (traumatic loss),High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Self report,IES,IES-R for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,1,0,0,1,0,0,0,1,High,1,"Excluded: ""current suicidal or parasuicidal behaviour""","Excluded: ""active psychosis""",Mixed,"child sexual abuse, rape/sexual assault, community/school violence, natural or manmade disasters",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and SCID,SCID and CAPS for DSM-IV,1,0,0,0,0,0,1,0,1,Some Concerns,1,Excluded: prominent current suicidal ideation,"Excluded: current psychotic disorder by DSM-IV (eg, schizophrenia, bipolar disorder)",Mixed,"combat-related, rape/sexual assault, illness/medical procedure, community/school violence, natural or manmade disaster, other (not specified)",Medium
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychotic,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV (German version),0,0,0,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: psychotic disorder,Mixed,"accidents, natural or manmade disasters, community/school violence, other (sexual trauma)",High
